fechaCreacion,Ciudad 1era instancia,Juzgado de origen,Autoridad de conocimiento,Tipo o tema del proceso,Instancia actual del proceso
2020,Bogotá,15,2,1,2
2023,Bogotá,36,1,1,1
2022,Bogotá,18,2,1,2
2020,Bogotá,14,2,1,2
2021,Bogotá,33,1,1,1
2021,Bogotá,21,2,1,2
2021,Bogotá,2,1,1,1
2020,Bogotá,15,2,1,2
2020,Bogotá,19,2,1,2
2020,Bogotá,2,2,1,2
2020,Bogotá,31,2,1,2
2020,Bogotá,19,1,1,1
2019,Bogotá,32,2,1,2
2020,Bogotá,37,2,1,2
2020,Bogotá,4,2,1,2
2020,Bogotá,18,2,1,2
2021,Bogotá,1,2,1,2
2021,Bogotá,32,2,1,2
2021,Bogotá,7,1,1,1
2019,Bogotá,3,2,1,2
2021,Bogotá,38,2,1,2
2023,Bogotá,46,1,1,1
2019,Bogotá,23,2,1,2
2019,Bogotá,9,2,1,2
2022,Bogotá,1,1,1,1
2020,Bogotá,22,2,1,2
2020,Bogotá,5,2,1,2
2019,Bogotá,21,2,1,2
2019,Bogotá,8,2,1,2
2019,Bogotá,4,2,1,2
2021,Bogotá,30,2,1,2
2022,Bogotá,15,1,1,1
2019,Bogotá,3,2,1,2
2023,Bogotá,11,1,1,1
2021,Bogotá,16,1,1,1
2019,Bogotá,38,2,1,2
2023,Bogotá,8,1,1,1
2022,Bogotá,16,2,1,2
2019,Bogotá,8,2,1,2
2022,Bogotá,27,1,1,2
2022,Bogotá,36,1,1,1
2021,Bogotá,7,2,1,2
2019,Bogotá,12,2,1,2
2022,Bogotá,14,1,1,1
2023,Bogotá,20,1,1,1
2021,Bogotá,30,1,1,1
2019,Bogotá,1,2,1,2
2021,Bogotá,15,2,1,2
2021,Bogotá,29,2,1,2
2021,Bogotá,12,2,1,2
2020,Bogotá,2,2,1,2
2019,Bogotá,27,2,1,2
2022,Bogotá,15,2,1,2
2021,Bogotá,23,2,1,2
2021,Bogotá,34,2,1,2
2023,Bogotá,37,1,1,1
2020,Bogotá,8,2,1,2
2023,Bogotá,13,1,1,1
2019,Bogotá,20,2,1,2
2020,Bogotá,22,2,1,2
2019,Bogotá,1,2,1,2
2023,Bogotá,13,1,1,1
2022,Bogotá,2,1,1,1
2022,Bogotá,24,1,1,1
2023,Bogotá,14,1,1,1
2021,Bogotá,37,2,1,2
2019,Bogotá,19,2,1,2
2022,Bogotá,3,2,1,2
2023,Bogotá,3,1,1,1
2022,Bogotá,8,2,1,2
2019,Bogotá,12,2,1,2
2020,Bogotá,39,2,1,2
2020,Bogotá,23,2,1,2
2023,Bogotá,17,1,1,1
2019,Bogotá,4,2,1,2
2020,Bogotá,12,2,1,2
2023,Bogotá,32,1,4,1
2023,Bogotá,26,1,1,1
2022,Bogotá,26,2,1,2
2022,Bogotá,3,2,1,2
2020,Bogotá,37,1,1,1
2019,Bogotá,10,2,1,2
2019,Bogotá,21,2,1,2
2022,Bogotá,1,1,1,2
2022,Bogotá,24,1,1,1
2019,Bogotá,19,2,1,2
2022,Bogotá,35,1,1,2
2020,Bogotá,26,2,1,2
2020,Bogotá,39,1,1,1
2020,Bogotá,40,1,1,1
2019,Bogotá,28,2,1,2
2022,Bogotá,29,2,1,2
2020,Bogotá,29,2,1,2
2020,Bogotá,2,2,1,2
2019,Bogotá,30,2,1,2
2023,Bogotá,5,1,1,1
2019,Bogotá,36,2,1,2
2019,Bogotá,31,2,1,2
2019,Bogotá,26,2,1,2
2023,Bogotá,13,1,1,1
2019,Bogotá,3,2,1,2
2022,Bogotá,17,2,1,2
2023,Bogotá,15,2,1,2
2022,Bogotá,34,2,1,2
2021,Bogotá,5,2,1,2
2020,Bogotá,23,2,1,2
2021,Bogotá,14,1,1,1
2021,Bogotá,30,2,1,2
2020,Bogotá,22,1,1,1
2019,Bogotá,35,2,1,2
2021,Bogotá,1,2,1,2
2019,Bogotá,1,2,1,2
2022,Bogotá,39,1,1,1
2023,Bogotá,4,1,1,1
2023,Bogotá,41,1,1,1
2021,Bogotá,10,1,1,1
2023,Bogotá,47,1,1,1
2022,Bogotá,35,1,1,1
2022,Bogotá,24,2,1,2
2022,Bogotá,2,1,1,1
2019,Bogotá,38,2,1,2
2019,Bogotá,3,2,1,2
2023,Bogotá,10,1,3,1
2021,Bogotá,37,1,1,1
2020,Bogotá,32,2,1,2
2019,Bogotá,26,2,1,2
2022,Bogotá,22,1,1,1
2021,Bogotá,27,2,1,2
2019,Bogotá,19,2,1,2
2021,Bogotá,27,1,1,1
2019,Bogotá,7,2,1,2
2022,Bogotá,37,1,1,1
2023,Bogotá,11,1,1,1
2022,Bogotá,38,1,1,2
2023,Bogotá,36,1,1,1
2021,Bogotá,12,2,1,2
2022,Bogotá,23,1,1,1
2019,Bogotá,10,1,1,1
2021,Bogotá,16,2,1,2
2021,Bogotá,30,1,1,1
2019,Bogotá,4,2,1,2
2022,Bogotá,26,1,1,1
2020,Bogotá,28,2,1,2
2019,Bogotá,26,2,1,2
2021,Bogotá,9,2,1,2
2021,Bogotá,19,1,1,1
2023,Bogotá,21,1,1,1
2020,Bogotá,32,2,1,2
2020,Bogotá,24,1,1,1
2019,Bogotá,32,2,1,2
2020,Bogotá,23,2,1,2
2022,Bogotá,7,2,1,2
2023,Bogotá,17,1,1,1
2021,Bogotá,4,2,1,2
2019,Bogotá,24,2,1,2
2021,Bogotá,26,2,1,2
2023,Bogotá,26,1,4,1
2022,Bogotá,1,1,1,1
2021,Bogotá,3,2,1,2
2021,Bogotá,18,2,1,2
2021,Bogotá,15,2,1,2
2019,Bogotá,19,2,1,2
2021,Bogotá,18,1,1,1
2020,Bogotá,1,2,1,2
2023,Bogotá,24,1,1,1
2020,Bogotá,32,2,1,2
2021,Bogotá,37,1,1,1
2020,Bogotá,1,2,1,2
2021,Bogotá,1,2,1,2
2020,Bogotá,32,2,1,2
2021,Bogotá,35,2,1,2
2021,Bogotá,5,2,1,2
2021,Bogotá,23,2,1,2
2023,Bogotá,42,1,1,1
2020,Bogotá,37,2,1,2
2019,Bogotá,37,2,1,2
2023,Bogotá,32,1,1,1
2022,Bogotá,31,1,1,1
2024,Bogotá,16,1,1,1
2022,Bogotá,1,1,1,1
2020,Bogotá,5,1,1,1
2022,Bogotá,32,1,1,1
2021,Bogotá,26,2,1,2
2020,Bogotá,29,2,1,2
2019,Bogotá,3,2,1,2
2022,Bogotá,27,1,1,1
2022,Bogotá,27,1,1,1
2019,Bogotá,8,2,1,2
2023,Bogotá,9,1,5,1
2022,Bogotá,22,1,1,1
2019,Bogotá,35,2,1,2
2023,Bogotá,8,1,1,1
2023,Bogotá,13,1,1,1
2020,Bogotá,18,2,1,2
2021,Bogotá,2,2,1,2
2019,Bogotá,30,2,1,2
2019,Bogotá,28,2,1,2
2021,Bogotá,23,2,1,2
2020,Bogotá,29,2,1,2
2019,Bogotá,13,2,1,2
2022,Bogotá,32,2,1,2
2021,Bogotá,2,2,1,2
2019,Bogotá,8,2,1,2
2022,Bogotá,18,2,1,2
2022,Bogotá,30,1,1,1
2021,Bogotá,2,1,1,1
2019,Bogotá,37,2,1,2
2022,Bogotá,8,1,1,2
2020,Bogotá,31,2,1,2
2022,Bogotá,37,2,1,2
2022,Bogotá,38,1,1,1
2020,Bogotá,39,2,1,2
2021,Bogotá,27,2,1,2
2022,Bogotá,7,1,1,1
2023,Bogotá,36,1,4,1
2023,Bogotá,23,1,1,1
2023,Bogotá,40,1,1,1
2024,Bogotá,39,1,1,1
2019,Bogotá,30,2,1,2
2022,Bogotá,29,2,1,2
2019,Bogotá,35,2,1,2
2021,Bogotá,20,2,1,2
2021,Bogotá,2,1,1,1
2019,Bogotá,18,2,1,2
2021,Bogotá,1,1,1,2
2021,Bogotá,15,2,1,2
2020,Bogotá,5,2,1,2
2022,Bogotá,9,2,1,2
2019,Bogotá,24,2,1,2
2023,Bogotá,16,1,4,1
2020,Bogotá,15,2,1,2
2023,Bogotá,38,1,1,1
2021,Bogotá,34,2,1,2
2023,Bogotá,14,1,1,1
2021,Bogotá,1,2,1,2
2020,Bogotá,24,2,1,2
2019,Bogotá,19,2,1,2
2023,Bogotá,2,1,1,1
2020,Bogotá,19,2,1,2
2021,Bogotá,37,1,1,1
2021,Bogotá,16,1,1,1
2022,Bogotá,9,2,1,2
2022,Bogotá,5,1,1,1
2023,Bogotá,20,1,1,1
2023,Bogotá,40,1,1,1
2019,Bogotá,5,2,1,2
2023,Bogotá,39,1,1,1
2022,Bogotá,34,1,1,1
2022,Bogotá,1,1,1,1
2020,Bogotá,7,1,1,1
2022,Bogotá,3,2,1,2
2023,Bogotá,6,1,1,1
2023,Bogotá,30,1,1,1
2023,Bogotá,22,1,1,1
2020,Bogotá,31,2,1,2
2020,Bogotá,15,2,1,2
2022,Bogotá,28,2,1,2
2020,Bogotá,4,2,1,2
2024,Bogotá,3,1,1,1
2019,Bogotá,28,2,1,2
2023,Bogotá,43,1,1,1
2021,Bogotá,24,2,1,2
2020,Bogotá,3,1,1,1
2023,Bogotá,39,1,1,1
2021,Bogotá,7,1,1,1
2021,Bogotá,22,1,1,1
2024,Bogotá,39,1,4,1
2022,Bogotá,10,1,1,1
2023,Bogotá,32,1,1,1
2019,Bogotá,37,2,1,2
2019,Bogotá,35,2,1,2
2020,Bogotá,15,2,1,2
2021,Bogotá,5,2,1,2
2019,Bogotá,30,2,1,2
2019,Bogotá,4,2,1,2
2022,Bogotá,33,1,1,1
2022,Bogotá,2,1,1,1
2021,Bogotá,20,2,1,2
2023,Bogotá,16,1,1,1
2022,Bogotá,26,1,1,1
2022,Bogotá,38,2,1,2
2020,Bogotá,23,2,1,2
2021,Bogotá,1,2,1,2
2020,Bogotá,13,2,1,2
2022,Bogotá,36,1,1,2
2020,Bogotá,21,1,1,2
2020,Bogotá,41,2,1,2
2023,Bogotá,24,1,1,1
2022,Bogotá,29,2,1,2
2022,Bogotá,41,1,1,1
2019,Bogotá,28,2,1,2
2023,Bogotá,25,1,1,1
2019,Bogotá,31,2,1,2
2023,Bogotá,42,1,1,1
2022,Bogotá,9,2,1,2
2019,Bogotá,19,2,1,2
2022,Bogotá,28,2,1,2
2022,Bogotá,37,1,1,1
2021,Bogotá,5,2,1,2
2020,Bogotá,37,2,1,2
2020,Bogotá,17,1,1,2
2023,Bogotá,22,1,1,1
2021,Bogotá,15,2,1,2
2023,Bogotá,45,1,1,1
2019,Bogotá,35,2,1,2
2024,Bogotá,11,1,1,1
2023,Bogotá,24,1,1,1
2019,Bogotá,23,2,1,2
2021,Bogotá,15,2,1,2
2019,Bogotá,35,2,1,2
2020,Bogotá,13,2,1,2
2021,Bogotá,19,2,1,2
2021,Bogotá,7,1,1,1
2020,Bogotá,24,2,1,2
2021,Bogotá,21,2,1,2
2023,Bogotá,26,1,3,1
2023,Bogotá,16,1,3,1
2021,Bogotá,5,1,1,1
2020,Bogotá,4,2,1,2
2023,Bogotá,5,1,1,1
2022,Bogotá,40,1,1,1
2023,Bogotá,10,1,1,1
2021,Bogotá,30,1,1,1
2023,Bogotá,23,1,1,1
2022,Bogotá,10,1,1,1
2020,Bogotá,29,2,1,2
2020,Bogotá,26,2,1,2
2022,Bogotá,11,1,1,1
2020,Bogotá,27,2,1,2
2021,Bogotá,37,2,1,2
2019,Bogotá,22,2,1,2
2023,Bogotá,41,1,1,1
2022,Bogotá,9,1,1,1
2023,Bogotá,10,1,1,1
2021,Bogotá,31,2,1,2
2019,Bogotá,9,2,1,2
2020,Bogotá,41,1,1,1
2021,Bogotá,2,2,1,2
2024,Bogotá,43,1,1,1
2019,Bogotá,26,2,1,2
2022,Bogotá,12,1,1,1
2021,Bogotá,34,2,1,2
2020,Bogotá,7,1,1,1
2022,Bogotá,26,1,1,1
2022,Bogotá,26,2,1,2
2022,Bogotá,23,2,1,2
2019,Bogotá,30,2,1,2
2022,Bogotá,39,1,1,1
2023,Bogotá,45,1,1,1
2022,Bogotá,21,2,1,2
2021,Bogotá,34,2,1,2
2021,Bogotá,29,2,1,2
2020,Bogotá,29,2,1,2
2022,Bogotá,3,1,1,1
2020,Bogotá,29,2,1,2
2019,Bogotá,34,2,1,2
2023,Bogotá,9,1,1,1
2022,Bogotá,29,1,1,1
2023,Bogotá,35,1,1,1
2019,Bogotá,40,2,1,2
2021,Bogotá,20,2,1,2
2021,Bogotá,23,2,1,2
2019,Bogotá,28,2,1,2
2019,Bogotá,20,2,1,2
2022,Bogotá,9,2,1,2
2021,Bogotá,33,2,1,2
2020,Bogotá,29,2,1,2
2021,Bogotá,34,2,1,2
2020,Bogotá,19,1,1,1
2019,Bogotá,20,2,1,2
2023,Bogotá,13,1,1,1
2020,Bogotá,31,2,1,2
2021,Bogotá,7,1,1,1
2020,Bogotá,4,2,1,2
2022,Bogotá,10,2,1,2
2020,Bogotá,7,1,1,1
2020,Bogotá,30,2,1,2
2021,Bogotá,39,2,1,2
2019,Bogotá,13,2,1,2
2021,Bogotá,35,2,1,2
2020,Bogotá,23,2,1,2
2020,Bogotá,28,2,1,2
2022,Bogotá,36,1,1,1
2023,Bogotá,3,1,1,1
2020,Bogotá,22,2,1,2
2023,Bogotá,16,1,1,1
2021,Bogotá,41,2,1,2
2022,Bogotá,7,1,1,1
2019,Bogotá,26,2,1,2
2021,Bogotá,39,2,1,2
2021,Bogotá,38,1,1,1
2021,Bogotá,3,2,1,2
2019,Bogotá,20,2,1,2
2019,Bogotá,37,2,1,2
2022,Bogotá,3,1,1,1
2019,Bogotá,38,2,1,2
2023,Bogotá,4,1,1,1
2022,Bogotá,5,1,1,1
2020,Bogotá,27,2,1,2
2020,Bogotá,27,1,1,1
2021,Bogotá,18,2,1,2
2021,Bogotá,37,2,1,2
2023,Bogotá,9,1,1,1
2023,Bogotá,38,1,1,1
2023,Bogotá,9,1,3,1
2020,Bogotá,15,2,1,2
2019,Bogotá,1,2,1,2
2022,Bogotá,24,2,1,2
2019,Bogotá,12,2,1,2
2019,Bogotá,8,2,1,2
2020,Bogotá,1,2,1,2
2023,Bogotá,7,1,1,1
2019,Bogotá,27,2,1,2
2020,Bogotá,30,2,1,2
2020,Bogotá,15,2,1,2
2019,Bogotá,32,2,1,2
2020,Bogotá,29,2,1,2
2023,Bogotá,35,1,1,1
2021,Bogotá,7,1,1,2
2021,Bogotá,26,1,1,1
2020,Bogotá,37,2,1,2
2020,Bogotá,10,1,1,1
2022,Bogotá,16,1,1,2
2023,Bogotá,6,1,1,1
2022,Bogotá,3,1,1,1
2023,Bogotá,3,1,5,1
2023,Bogotá,24,1,1,1
2019,Bogotá,8,2,1,2
2019,Bogotá,34,2,1,2
2019,Bogotá,10,1,1,1
2021,Bogotá,15,2,1,2
2020,Bogotá,35,2,1,2
2019,Bogotá,11,2,1,2
2023,Bogotá,10,1,1,1
2020,Bogotá,34,2,1,2
2021,Bogotá,29,2,1,2
2020,Bogotá,17,2,1,2
2020,Bogotá,36,2,1,2
2020,Bogotá,15,2,1,2
2019,Bogotá,40,2,1,2
2020,Bogotá,21,2,1,2
2023,Bogotá,43,1,1,1
2022,Bogotá,33,1,1,1
2020,Bogotá,23,2,1,2
2021,Bogotá,22,1,1,1
2023,Bogotá,25,1,1,1
2020,Bogotá,26,2,1,2
2019,Bogotá,3,2,1,2
2021,Bogotá,1,2,1,2
2023,Bogotá,17,1,1,1
2022,Bogotá,10,2,1,2
2019,Bogotá,28,2,1,2
2023,Bogotá,21,1,1,1
2021,Bogotá,29,1,1,1
2023,Bogotá,32,1,5,1
2022,Bogotá,30,1,1,1
2021,Bogotá,38,2,1,2
2020,Bogotá,21,2,1,2
2020,Bogotá,31,2,1,2
2023,Bogotá,15,1,1,1
2021,Bogotá,1,2,1,2
2022,Bogotá,34,2,1,2
2022,Bogotá,5,2,1,2
2022,Bogotá,17,2,1,2
2023,Bogotá,28,1,1,1
2020,Bogotá,11,2,1,2
2021,Bogotá,34,1,1,1
2020,Bogotá,40,1,1,2
2020,Bogotá,37,2,1,2
2021,Bogotá,13,1,1,1
2022,Bogotá,22,1,1,1
2024,Bogotá,45,1,5,1
2023,Bogotá,37,1,1,1
2023,Bogotá,32,1,1,1
2020,Bogotá,17,2,1,2
2019,Bogotá,26,2,1,2
2019,Bogotá,35,2,1,2
2021,Bogotá,33,2,1,2
2019,Bogotá,12,2,1,2
2023,Bogotá,3,1,1,1
2021,Bogotá,26,2,1,2
2021,Bogotá,2,1,1,1
2019,Bogotá,22,2,1,2
2022,Bogotá,10,1,1,1
2019,Bogotá,21,2,1,2
2020,Bogotá,36,2,1,2
2021,Bogotá,21,2,1,2
2022,Bogotá,29,2,1,2
2019,Bogotá,5,2,1,2
2022,Bogotá,15,2,1,2
2022,Bogotá,18,1,1,1
2023,Bogotá,44,1,1,1
2021,Bogotá,9,2,1,2
2022,Bogotá,32,1,1,1
2022,Bogotá,21,2,1,2
2021,Bogotá,2,1,1,1
2021,Bogotá,36,1,1,1
2023,Bogotá,13,1,1,1
2021,Bogotá,38,2,1,2
2023,Bogotá,43,1,1,1
2021,Bogotá,5,2,1,2
2021,Bogotá,15,1,1,1
2021,Bogotá,20,1,1,1
2022,Bogotá,34,1,1,1
2019,Bogotá,39,2,1,2
2019,Bogotá,32,2,1,2
2021,Bogotá,16,2,1,2
2019,Bogotá,28,2,1,2
2022,Bogotá,10,1,1,1
2022,Bogotá,27,1,1,1
2022,Bogotá,27,1,1,1
2022,Bogotá,24,1,1,1
2019,Bogotá,11,2,1,2
2020,Bogotá,10,2,1,2
2023,Bogotá,22,1,1,1
2023,Bogotá,18,1,1,1
2020,Bogotá,28,2,1,2
2020,Bogotá,15,2,1,2
2022,Bogotá,27,1,1,1
2019,Bogotá,33,2,1,2
2021,Bogotá,31,2,1,2
2023,Bogotá,45,1,1,1
2022,Bogotá,4,1,1,2
2022,Bogotá,15,2,1,2
2021,Bogotá,24,2,1,2
2023,Bogotá,42,1,1,1
2019,Bogotá,41,2,1,2
2020,Bogotá,7,2,1,2
2022,Bogotá,12,1,1,1
2021,Bogotá,3,2,1,2
2019,Bogotá,36,2,1,2
2021,Bogotá,26,2,1,2
2021,Bogotá,22,1,1,1
2021,Bogotá,15,2,1,2
2019,Bogotá,14,2,1,2
2022,Bogotá,38,2,1,2
2019,Bogotá,24,2,1,2
2019,Bogotá,2,2,1,2
2020,Bogotá,31,2,1,2
2021,Bogotá,1,2,1,2
2023,Bogotá,17,1,1,1
2019,Bogotá,3,2,1,2
2019,Bogotá,41,2,1,2
2021,Bogotá,2,1,1,1
2021,Bogotá,39,2,1,2
2019,Bogotá,22,2,1,2
2021,Bogotá,7,1,1,1
2020,Bogotá,4,2,1,2
2022,Bogotá,34,1,1,1
2021,Bogotá,30,2,1,2
2021,Bogotá,9,2,1,2
2020,Bogotá,35,2,1,2
2020,Bogotá,15,2,1,2
2022,Bogotá,4,1,1,1
2023,Bogotá,18,1,5,1
2022,Bogotá,35,2,1,2
2023,Bogotá,6,1,1,1
2019,Bogotá,5,2,1,2
2019,Bogotá,37,2,1,2
2023,Bogotá,6,1,1,1
2019,Bogotá,27,2,1,2
2022,Bogotá,21,2,1,2
2023,Bogotá,19,1,1,1
2020,Bogotá,21,2,1,2
2021,Bogotá,18,2,1,2
2019,Bogotá,17,2,1,2
2020,Bogotá,21,2,1,2
2022,Bogotá,4,1,1,1
2022,Bogotá,1,1,1,1
2022,Bogotá,22,1,1,1
2021,Bogotá,35,2,1,2
2019,Bogotá,31,2,1,2
2021,Bogotá,23,2,1,2
2019,Bogotá,28,2,1,2
2021,Bogotá,37,2,1,2
2019,Bogotá,31,2,1,2
2020,Bogotá,26,2,1,2
2020,Bogotá,21,2,1,2
2023,Bogotá,46,1,1,1
2023,Bogotá,47,1,4,1
2022,Bogotá,28,1,1,2
2022,Bogotá,26,1,1,2
2021,Bogotá,26,2,1,2
2019,Bogotá,23,2,1,2
2023,Bogotá,3,1,1,1
2020,Bogotá,35,2,1,2
2020,Bogotá,17,2,1,2
2020,Bogotá,29,2,1,2
2023,Bogotá,42,1,5,1
2021,Bogotá,35,1,1,2
2019,Bogotá,4,2,1,2
2019,Bogotá,11,2,1,2
2021,Bogotá,23,2,1,2
2022,Bogotá,5,2,1,2
2021,Bogotá,19,1,1,1
2021,Bogotá,9,2,1,2
2022,Bogotá,18,1,1,1
2022,Bogotá,23,2,1,2
2019,Bogotá,27,2,1,2
2019,Bogotá,10,2,1,2
2021,Bogotá,24,2,1,2
2021,Bogotá,29,2,1,2
2021,Bogotá,23,2,1,2
2022,Bogotá,32,1,1,1
2020,Bogotá,23,2,1,2
2019,Bogotá,10,2,1,2
2019,Bogotá,35,2,1,2
2020,Bogotá,37,2,1,2
2022,Bogotá,5,2,1,2
2019,Bogotá,28,2,1,2
2021,Bogotá,3,2,1,2
2022,Bogotá,35,2,1,2
2019,Bogotá,10,2,1,2
2023,Bogotá,5,1,1,1
2022,Bogotá,23,1,1,2
2020,Bogotá,19,2,1,2
2021,Bogotá,4,2,1,2
2021,Bogotá,12,2,1,2
2020,Bogotá,39,2,1,2
2021,Bogotá,27,2,1,2
2019,Bogotá,15,2,1,2
2021,Bogotá,14,2,1,2
2022,Bogotá,26,1,1,1
2022,Bogotá,3,1,1,1
2021,Bogotá,19,1,1,1
2021,Bogotá,26,1,1,1
2023,Bogotá,40,1,1,1
2021,Bogotá,31,2,1,2
2021,Bogotá,20,2,1,2
2020,Bogotá,17,2,1,2
2022,Bogotá,1,1,1,1
2019,Bogotá,26,2,1,2
2021,Bogotá,7,2,1,2
2021,Bogotá,29,2,1,2
2022,Bogotá,36,1,1,1
2023,Bogotá,18,1,1,1
2022,Bogotá,19,1,1,1
2022,Bogotá,24,2,1,2
2023,Bogotá,41,1,1,1
2020,Bogotá,35,2,1,2
2022,Bogotá,36,1,1,1
2020,Bogotá,7,1,1,1
2022,Bogotá,36,1,1,1
2023,Bogotá,47,1,1,1
2022,Bogotá,32,1,1,1
2022,Bogotá,22,1,1,1
2023,Bogotá,38,1,1,1
2021,Bogotá,28,2,1,2
2022,Bogotá,5,2,1,2
2021,Bogotá,29,2,1,2
2023,Bogotá,27,1,1,1
2020,Bogotá,2,2,1,2
2021,Bogotá,1,2,1,2
2023,Bogotá,10,1,1,1
2022,Bogotá,7,1,1,1
2020,Bogotá,4,2,1,2
2020,Bogotá,3,2,1,2
2020,Bogotá,21,2,1,2
2021,Bogotá,39,2,1,2
2024,Bogotá,34,1,1,1
2022,Bogotá,23,1,1,2
2022,Bogotá,19,1,1,1
2023,Bogotá,5,1,1,1
2020,Bogotá,7,2,1,2
2022,Bogotá,28,1,1,1
2020,Bogotá,10,2,1,2
2022,Bogotá,40,1,1,1
2023,Bogotá,1,1,1,1
2019,Bogotá,37,2,1,2
2020,Bogotá,39,2,1,2
2022,Bogotá,40,1,1,1
2022,Bogotá,28,1,1,1
2021,Bogotá,29,2,1,2
2022,Bogotá,9,2,1,2
2024,Bogotá,40,1,1,1
2022,Bogotá,7,1,1,1
2021,Bogotá,30,1,1,1
2022,Bogotá,25,1,1,1
2019,Bogotá,35,2,1,2
2023,Bogotá,45,1,1,1
2021,Bogotá,16,2,1,2
2020,Bogotá,1,2,1,2
2023,Bogotá,28,1,4,1
2020,Bogotá,2,2,1,2
2020,Bogotá,26,2,1,2
2023,Bogotá,28,1,1,1
2022,Bogotá,26,1,1,1
2021,Bogotá,5,2,1,2
2021,Bogotá,4,1,1,1
2019,Bogotá,4,2,1,2
2023,Bogotá,43,1,1,1
2022,Bogotá,1,1,1,1
2019,Bogotá,21,1,1,1
2022,Bogotá,15,2,1,2
2022,Bogotá,28,1,1,1
2020,Bogotá,2,2,1,2
2021,Bogotá,39,1,1,1
2021,Bogotá,18,1,1,1
2023,Bogotá,22,1,1,1
2022,Bogotá,23,1,1,2
2021,Bogotá,15,2,1,2
2022,Bogotá,27,1,1,1
2020,Bogotá,27,2,1,2
2022,Bogotá,32,1,1,1
2022,Bogotá,23,2,1,2
2023,Bogotá,44,1,1,1
2021,Bogotá,4,1,1,1
2021,Bogotá,26,1,1,1
2021,Bogotá,38,2,1,2
2022,Bogotá,30,1,1,1
2020,Bogotá,41,2,1,1
2022,Bogotá,28,1,1,1
2021,Bogotá,37,1,1,1
2023,Bogotá,44,1,1,1
2022,Bogotá,22,1,1,1
2019,Bogotá,39,2,1,2
2022,Bogotá,28,1,1,1
2022,Bogotá,33,2,1,2
2022,Bogotá,41,1,1,1
2020,Bogotá,32,2,1,2
2023,Bogotá,8,1,1,1
2019,Bogotá,20,2,1,2
2022,Bogotá,18,1,1,1
2023,Bogotá,24,1,1,1
